"depart","vars","n","mean_delay","sd_delay","median_delay","trimmed_mean_delay","mad_delay","min_delay","max_delay","range_delay","skew_delay","kurtosis_delay","se_delay","origin_icao","variable","rate","punc"
"SBCA",3,13804,9.73920602723848,32.6669044967864,0,2.14686707714596,0,0,1362,1362,10.2901541000319,262.28124738371,0.278038865357424,"SBCA","departure_delay",9.73920602723848,0.847507968704723
"SBCB",5,3371,11.2916048650252,59.0880858125427,0,2.0622914349277,0,0,1428,1428,13.7781013409073,240.89473629257,1.01770180495375,"SBCB","departure_delay",11.2916048650252,0.85256600415307
"SBCF",9,672730,7.89578434141484,29.5964776778214,0,2.09049693041786,0,0,1440,1440,21.3888626930211,898.849290312354,0.0360844118057741,"SBCF","departure_delay",7.89578434141484,0.848413182108721
"SBCG",7,136242,6.82151612571747,25.6031581341822,0,0.938602124887608,0,0,1433,1433,11.1410558335877,335.210333156786,0.0693646235113861,"SBCG","departure_delay",6.82151612571747,0.878745174028567
"SBCH",5,19504,8.92401558654635,29.6246108172217,0,2.3629838502948,0,0,719,719,7.71960084857146,92.6779209264535,0.212124489196149,"SBCH","departure_delay",8.92401558654635,0.840032813781788
"SBCJ",3,13906,9.31274270099238,28.043240975337,0,2.62475283120618,0,0,588,588,6.06676681453777,57.5123249332839,0.23780834547163,"SBCJ","departure_delay",9.31274270099238,0.828131741694233
"SBCM",2,2927,10.144858216604,31.6000217393749,0,1.83738796414853,0,0,313,313,4.59980962682546,25.8158463234238,0.584084955610341,"SBCM","departure_delay",10.144858216604,0.84967543559959
"SBCP",3,7037,6.15063237174933,23.9291293298372,0,0.313265849760256,0,0,563,563,6.8673810713931,77.2001478201004,0.285254905335663,"SBCP","departure_delay",6.15063237174933,0.90279948841836
"SBCR",3,4976,5.34184083601286,19.3911523560635,0,0.351079859367152,0,0,214,214,5.38858123352062,36.045238749731,0.274892842940103,"SBCR","departure_delay",5.34184083601286,0.898713826366559
"SBCT",9,596931,10.1312815048975,38.0686787838317,0,2.57433540294631,0,0,1440,1440,15.1276265592204,418.477024284433,0.0492726292848313,"SBCT","departure_delay",10.1312815048975,0.830514749610927
"SBCX",2,6390,6.18716744913928,19.3954414843448,0,1.42664319248826,0,0,431,431,6.34654122365283,69.0022382320125,0.242632649415179,"SBCX","departure_delay",6.18716744913928,0.868075117370892
"SBCY",6,200531,8.67491310570436,48.1764040612195,0,1.39937042231572,0,0,1440,1440,21.4377727624032,596.075133523864,0.107582992638426,"SBCY","departure_delay",8.67491310570436,0.866429629334118
"SBCZ",4,7089,11.2272534913246,43.1568463637918,0,1.67354133615371,0,0,825,825,7.56321675968119,80.0785368265434,0.512574755764044,"SBCZ","departure_delay",11.2272534913246,0.858089998589364
