"arrival" ,"vars" ,"n"     ,"mean_delay"         ,"sd_delay"       ,"median_delay" ,"trimmed_mean_delay" ,"mad_delay" ,"min_delay" ,"max_delay" ,"range_delay" ,"skew_delay"     ,"kurtosis_delay" ,"se_delay"        ,"origin_icao" ,"variable"      ,"rate"               ,"punc"
"SBIP"    ,     3 ,  10571 ,   11.6289978678038  ,179.604202662279 ,             0 ,    2.07207207207207 ,     0      ,          0 ,      14388 ,        14388 ,65.1704268802041 ,4689.41300574317 ,1.74686143988777  ,"SBIP"        ,"delay_arrival" ,   11.6289978678038  ,0.845466544826886
"SBIZ"    ,     2 ,  19037 ,   12.4381156316916  ,142.167200695778 ,             0 ,    4.49765792291221 ,     0      ,          0 ,      14434 ,        14434 ,76.6932639452569 ,6713.35267189982 ,1.03038649339434  ,"SBIZ"        ,"delay_arrival" ,   12.4381156316916  ,0.767344753747323
"SBJE"    ,     1 ,     32 ,    4.34375          ,21.4981010039071 ,             0 ,    0                ,     0      ,          0 ,        121 ,          121 ,4.99192331284228 ,24.0998156677372 ,3.80036325062402  ,"SBJE"        ,"delay_arrival" ,    4.34375          ,0.9375
"SBJF"    ,     2 ,   6365 ,   17.3167349511503  ,186.223562807714 ,             0 ,    5.22174084285152 ,     0      ,          0 ,      14467 ,        14467 ,73.7389798097078 ,5709.9116900148  ,2.33418582453079  ,"SBJF"        ,"delay_arrival" ,   17.3167349511503  ,0.77340056728648
"SBJP"    ,     6 ,  59397 ,   11.8822456599164  ,108.621129756041 ,             0 ,    3.06333741961847 ,     0      ,          0 ,      14381 ,        14381 ,60.5949768108813 ,6333.99391458394 ,0.445689148702945 ,"SBJP"        ,"delay_arrival" ,   11.8822456599164  ,0.822284544312727
"SBJR"    ,     1 ,   1737 ,   17.4741185296324  ,27.7142805998301 ,             5 ,   11.3036551077788  ,     7.413  ,          0 ,        260 ,          260 ,2.59462027029772 ,9.58047792672704 ,0.664972523214223 ,"SBJR"        ,"delay_arrival" ,   17.4741185296324  ,0.670667666916729
"SBJU"    ,     5 ,  22844 ,    9.54138842827052 ,111.569997665854 ,             0 ,    2.64999159710941 ,     0      ,          0 ,      14399 ,        14399 ,108.557148584696 ,13185.8299820445 ,0.73817842581349  ,"SBJU"        ,"delay_arrival" ,    9.54138842827052 ,0.829337157710752
"SBJV"    ,     6 ,  27237 ,    8.86706914227133 ,49.5854532937995 ,             0 ,    3.27782259978169 ,     0      ,          0 ,       7188 ,         7188 ,115.746090068503 ,16683.5446097348 ,0.300451690796478 ,"SBJV"        ,"delay_arrival" ,    8.86706914227133 ,0.804457607168622
"SBKG"    ,     6 ,  11740 ,   10.8075187969925  ,28.6907936181264 ,             0 ,    3.97258153676064 ,     0      ,          0 ,        946 ,          946 ,7.02448823858344 ,125.532318091223 ,0.264794227337321 ,"SBKG"        ,"delay_arrival" ,   10.8075187969925  ,0.792038920831491
"SBKP"    ,     8 , 682423 ,   23.1268695606857  ,7232.86052239629 ,             0 ,    1.85517164742444 ,     0      ,          0 ,    4733366 ,      4733366 ,591.824695905949 ,357871.22454236  ,8.75554657277354  ,"SBKP"        ,"delay_arrival" ,   23.1268695606857  ,0.851849864965529
"SBLE"    ,     2 ,    638 ,   11.0166666666667  ,33.8749993582991 ,             0 ,    3.60208333333333 ,     0      ,          0 ,        548 ,          548 ,8.27706356723169 ,108.821673468297 ,1.34112406739473  ,"SBLE"        ,"delay_arrival" ,   11.0166666666667  ,0.808333333333333
"SBLO"    ,     7 , 107176 ,   10.6240655411735  ,73.152192720502  ,             0 ,    3.43905790693784 ,     0      ,          0 ,      14387 ,        14387 ,154.864801816403 ,29401.6952690809 ,0.223449082809894 ,"SBLO"        ,"delay_arrival" ,   10.6240655411735  ,0.801225551115615
"SBLP"    ,     1 ,    294 ,   18.7414965986395  ,253.04854148412  ,             0 ,    1.73728813559322 ,     0      ,          0 ,       4340 ,         4340 ,16.9380532519331 ,286.25331342841  ,14.7580906378952  ,"SBLP"        ,"delay_arrival" ,   18.7414965986395  ,0.836734693877551
"SBMA"    ,     5 ,  40580 , 1330.30321300274    ,117887.444900786 ,             0 ,    3.2142744999529  ,     0      ,          0 ,   10519260 ,     10519260 ,89.2064937716518 ,7955.99900728581 ,585.209723546325  ,"SBMA"        ,"delay_arrival" , 1330.30321300274    ,0.799733715175723
"SBMD"    ,     2 ,   1205 ,   29.0817347789825  ,69.9026271833776 ,             0 ,   15.0364203954214  ,     0      ,          0 ,        985 ,          985 ,7.35038195316046 ,82.7683403674535 ,2.01372413343833  ,"SBMD"        ,"delay_arrival" ,   29.0817347789825  ,0.618849040867389
"SBME"    ,     2 ,   8780 ,    8.44531707888876 ,27.0403875790283 ,             0 ,    1.45846153846154 ,     0      ,          0 ,        558 ,          558 ,5.3015919270622  ,43.7417139529987 ,0.288579618039929 ,"SBME"        ,"delay_arrival" ,    8.44531707888876 ,0.863204782557731
"SBMG"    ,     5 ,  50534 ,   11.294605637016   ,153.794588967872 ,             0 ,    3.6548541801685  ,     0      ,          0 ,      28840 ,        28840 ,155.979534937849 ,27307.3649672347 ,0.684146670470163 ,"SBMG"        ,"delay_arrival" ,   11.294605637016   ,0.796627745401
"SBMK"    ,     4 ,  26037 ,   10.9796842442699  ,140.038398818521 ,             0 ,    2.76660322548332 ,     0      ,          0 ,      14413 ,        14413 ,92.5427375339117 ,9213.73349500158 ,0.867863982422705 ,"SBMK"        ,"delay_arrival" ,   10.9796842442699  ,0.824210610674788
"SBML"    ,     2 ,   1897 ,   10.9208083014746  ,43.5348081148597 ,             0 ,    3.58498293515358 ,     0      ,          0 ,       1502 ,         1502 ,22.9341243967377 ,753.434238843173 ,0.999546422594406 ,"SBML"        ,"delay_arrival" ,   10.9208083014746  ,0.795740032768979
"SBMN"    ,     1 ,      1 ,    0                ,NA               ,             0 ,    0                ,     0      ,          0 ,          0 ,            0 ,NA               ,NA               ,NA                ,"SBMN"        ,"delay_arrival" ,    0                ,1
"SBMO"    ,    10 , 137303 ,   10.7866268249461  ,158.733852376057 ,             0 ,    3.10151536215765 ,     0      ,          0 ,      44655 ,        44655 ,195.539497102405 ,49022.3120478621 ,0.428380351863654 ,"SBMO"        ,"delay_arrival" ,   10.7866268249461  ,0.816604506662119
"SBMQ"    ,     7 ,  56030 , 2640.38575581395    ,163077.911095242 ,             0 ,    5.46393531976744 ,     0      ,          0 ,   10519359 ,     10519359 ,63.8057784658633 ,4095.0087351185  ,688.945437823773  ,"SBMQ"        ,"delay_arrival" , 2640.38575581395    ,0.754396802325581
"SBMS"    ,     3 ,   1398 ,    7.26178390137781 ,24.243600685003  ,             0 ,    1.53031674208145 ,     0      ,          0 ,        397 ,          397 ,6.72887754085166 ,68.3474082215063 ,0.648400791699542 ,"SBMS"        ,"delay_arrival" ,    7.26178390137781 ,0.873821609862219
"SBMY"    ,     2 ,    124 ,   24.2567567567568  ,48.3962131459841 ,             5 ,   11.05             ,     7.413  ,          0 ,        207 ,          207 ,2.55565493414925 ,5.5086944401677  ,4.34610823951833  ,"SBMY"        ,"delay_arrival" ,   24.2567567567568  ,0.689189189189189
